dest,symbol,name,address,decimals,origin,sourceAddress,sourceDecimals,coingeckoId,logo,serumV3Usdc,serumV3Usdt
bsc,RAY,Raydium (Portal),0x13b6A55662f6591f8B8408Af1C73B017E32eEdB8,6.0,sol,4k3Dyjzvzp8eMZWUXbBCjEvwSkkk59S5iCNLY3QrkX6R,6.0,raydium,https://raw.githubusercontent.com/certusone/wormhole-token-list/main/assets/RAY_wh.png,,
bsc,SBR,Saber (Portal),0x75344E5693ed5ecAdF4f292fFeb866c2cF8afCF1,6.0,sol,Saber2gLauYim4Mvftnrasomsv6NvAuncvMEZwcLpD1,6.0,saber,https://raw.githubusercontent.com/certusone/wormhole-token-list/main/assets/SBR_wh.png,,
bsc,SOL,SOL (Portal),0xfA54fF1a158B5189Ebba6ae130CEd6bbd3aEA76e,9.0,sol,So11111111111111111111111111111111111111112,9.0,solana,https://raw.githubusercontent.com/certusone/wormhole-token-list/main/assets/SOL_wh.png,,
bsc,SRMso,Serum (Portal from Solana),0x12BeffdCEcb547640DC30e1495E4B9cdc21922b4,6.0,sol,SRMuApVNdxXokk5GT7XD5cUUgXMBCoAz2LHeuAoKWRt,6.0,serum,https://raw.githubusercontent.com/certusone/wormhole-token-list/main/assets/SRMso_wh.png,,
bsc,USDCso,USD Coin (Portal from Solana),0x91Ca579B0D47E5cfD5D0862c21D5659d39C8eCf0,6.0,sol,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,6.0,usd-coin,https://raw.githubusercontent.com/certusone/wormhole-token-list/main/assets/USDCso_wh.png,,
bsc,USDTso,Tether USD (Portal from Solana),0x49d5cC521F75e13fa8eb4E89E9D381352C897c96,6.0,sol,Es9vMFrzaCERmJfrF4H2FYD4KCoNkY11McCe8BenwNYB,6.0,tether,https://raw.githubusercontent.com/certusone/wormhole-token-list/main/assets/USDTso_wh.png,,
bsc,ZBC,Wrapped Zebec Token,0x37a56cdcd83dce2868f721de58cb3830c44c6303,9.0,sol,wzbcJyhGhQDLTV1S99apZiiBdE4jmYfbw99saMMdP59,9.0,zebec-protocol,https://raw.githubusercontent.com/certusone/wormhole-token-list/main/assets/ZBC_wh.png,,
bsc,BONK,BONK (Portal),0xA697e272a73744b343528C3Bc4702F2565b2F422,5.0,sol,DezXAZ8z7PnrnRJjz3wXBoRgixCa6xjnB7YaB1pPB263,5.0,bonk,https://raw.githubusercontent.com/certusone/wormhole-token-list/main/assets/BONK_wh.png,,
bsc,UST,UST (Portal),0x3d4350cD54aeF9f9b2C29435e0fa809957B3F30a,6.0,terra,uusd,6.0,terra-usd,https://raw.githubusercontent.com/certusone/wormhole-token-list/main/assets/UST_wh.png,8WmckvEoVGZvtN8knjdzFGbWJ3Sr4BcWdyzSYuCrD4YK,
bsc,LUNA,LUNA (Portal),0x156ab3346823B651294766e23e6Cf87254d68962,6.0,terra,uluna,6.0,terra-luna,https://raw.githubusercontent.com/certusone/wormhole-token-list/main/assets/LUNA_wh.png,HBTu8hNaoT3VyiSSzJYa8jwt9sDGKtJviSwFa11iXdmE,
