NAME,SYMBOL,ADDRESS,DECIMALS,LOGOURI,VERIFIED
HEX (Wormhole v1),wHEX_v1,ELSnGFd5XnSdYFFSgYQp7n89FEbDqxN4npuRLW4PPPLv,8,https://raw.githubusercontent.com/solana-labs/token-list/main/assets/mainnet/ELSnGFd5XnSdYFFSgYQp7n89FEbDqxN4npuRLW4PPPLv/logo.png,true
Basic Attention Token (Portal),BAT,EPeUFDgHRxs9xxEPVaL6kfGQvCon7jmAWKVUHuux1Tpz,8,https://raw.githubusercontent.com/solana-labs/token-list/main/assets/mainnet/EPeUFDgHRxs9xxEPVaL6kfGQvCon7jmAWKVUHuux1Tpz/logo.png,true
USD Coin,USDC,EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v,6,https://raw.githubusercontent.com/solana-labs/token-list/main/assets/mainnet/EPjFWdd5AufqSSqeM2qN1xzybapC8G4wEGGkZwyTDt1v/logo.png,true
Media Network,MEDIA,ETAtLmCmsoiEEKfNrHKJ2kYy3MoABhU6NQvpSfij5tDs,6,https://raw.githubusercontent.com/solana-labs/token-list/main/assets/mainnet/ETAtLmCmsoiEEKfNrHKJ2kYy3MoABhU6NQvpSfij5tDs/logo.png,true
FUMoney,FUM,EZF2sPJRe26e8iyXaCrmEefrGVBkqqNGv9UPGG9EnTQz,9,https://assets.coingecko.com/coins/images/21054/large/KuH9TXMM_400x400.jpg?1638263205,true
Bonfida,FIDA,EchesyfXePKdLtoiZSL8pBe8Myagyy8ZRqsACNCFGnvp,6,https://assets.coingecko.com/coins/images/13395/large/bonfida.png?1658327819,true
USDT,USDT,Es9vMFrzaCERmJfrF4H2FYD4KCoNkY11McCe8BenwNYB,6,https://raw.githubusercontent.com/solana-labs/token-list/main/assets/mainnet/Es9vMFrzaCERmJfrF4H2FYD4KCoNkY11McCe8BenwNYB/logo.svg,true
Synex Coin,MINECRAFT,FTkj421DxbS1wajE74J34BJ5a1o9ccA97PkK6mYq9hNQ,9,https://assets.coingecko.com/coins/images/21247/large/logo_-_2021-12-06T135451.604.png?1638770098,true
SOLA,SOLA,FYfQ9uaRaYvRiaEGUmct45F9WKam3BYXArTrotnTNFXF,9,https://assets.coingecko.com/coins/images/18263/large/sola-new.png?1632238376,true
Dai Stablecoin (Wormhole v1),wDAI_v1,FYpdBuyAHSbdaAyD1sKkxyLWbAP8uUW9h6uvdhK74ij1,9,https://raw.githubusercontent.com/solana-labs/token-list/main/assets/mainnet/FYpdBuyAHSbdaAyD1sKkxyLWbAP8uUW9h6uvdhK74ij1/logo.png,true
Wrapped Capsule Coin (Wormhole v1),wCAPS_v1,FeLoyXk8ac2AYVmDhAWEKNWWT63Z9TczeidYbpDvxF3T,8,https://raw.githubusercontent.com/solana-labs/token-list/main/assets/mainnet/FeLoyXk8ac2AYVmDhAWEKNWWT63Z9TczeidYbpDvxF3T/logo.svg,true
MonkeyBucks,MBS,Fm9rHUTF5v3hwMLbStjZXqNBBoZyGriQaFM6sTFz3K8A,6,https://raw.githubusercontent.com/solana-labs/token-list/main/assets/mainnet/Fm9rHUTF5v3hwMLbStjZXqNBBoZyGriQaFM6sTFz3K8A/logo.png,true
Brazilian Digital,BRZ,FtgGSFADXBtroxq8VCausXRr2of47QBf5AS1NtZCu4GD,4,https://assets.coingecko.com/coins/images/8472/large/MicrosoftTeams-image_%286%29.png?1674480131,true
FTT (Wormhole v1),wFTT_v1,GbBWwtYTMPis4VHb8MrBbdibPhn28TSrLB53KvUmb7Gi,9,https://raw.githubusercontent.com/solana-labs/token-list/main/assets/mainnet/GbBWwtYTMPis4VHb8MrBbdibPhn28TSrLB53KvUmb7Gi/logo.png,true
SOL100,SOL100,GkDg1ZfoFkroLAwLqtJNXhxCDg8gmKxHAGxSUZagYFfE,9,https://raw.githubusercontent.com/solana-labs/token-list/main/assets/mainnet/GkDg1ZfoFkroLAwLqtJNXhxCDg8gmKxHAGxSUZagYFfE/logo.png,true
OOGI,OOGI,H7Qc9APCWWGDVxGD5fJHmLTmdEgT9GFatAKFNg6sHh8A,9,https://assets.coingecko.com/coins/images/19714/large/oogi.PNG?1635756218,true
Cryowar,CWAR,HfYFjMKNZygfMC8LsQ8LtpPsPxEJoXJx4M6tqi75Hajo,9,https://assets.coingecko.com/coins/images/20227/large/CWAR_round_200_200.png?1636689418,true
MAPS,MAPS,MAPS41MDahZ9QdKXhVa4dWB9RuyfV4XqhyAZ8XcYepb,6,https://raw.githubusercontent.com/solana-labs/token-list/main/assets/mainnet/MAPS41MDahZ9QdKXhVa4dWB9RuyfV4XqhyAZ8XcYepb/logo.svg,true
Serum,SRM,SRMuApVNdxXokk5GT7XD5cUUgXMBCoAz2LHeuAoKWRt,6,https://assets.coingecko.com/coins/images/11970/large/serum-logo.png?1597121577,true
Wrapped SOL,SOL,So11111111111111111111111111111111111111112,9,https://raw.githubusercontent.com/solana-labs/token-list/main/assets/mainnet/So11111111111111111111111111111111111111112/logo.png,true
Investin,IVN,iVNcrNE9BRZBC9Aqf753iZiZfbszeAVUoikgT9yvr2a,6,https://assets.coingecko.com/coins/images/15588/large/ivn_logo.png?1621267247,true
Turtles Token,TRTLS,q4bpaRKw3fJB1AJBeeBaKv3TjYzWsmntLgnSB275YUb,9,https://www.turtles.com/turtles.png,true
yPRT (Parrot Yield Token),yPRT,yPRTUpLDftNej7p6QofNYgRArRXsm6Mvkzohj4bh4WM,6,https://raw.githubusercontent.com/solana-labs/token-list/main/assets/mainnet/yPRTUpLDftNej7p6QofNYgRArRXsm6Mvkzohj4bh4WM/logo.svg,true
Oxygen,OXY,z3dn17yLaGMKffVogeFHQ9zWVcXgqgf3PQnDsNs2g6M,6,https://assets.coingecko.com/coins/images/13509/large/8DjBZ79V_400x400.jpg?1609236331,true
Cheems,CHEEMS,3FoUAsGDbvTD6YZ4wVKJgTB76onJUKz7GPEBNiR5b8wc,4,https://assets.coingecko.com/coins/images/18358/large/newlogo.png?1644476666,true
wTYNA,TYNA,3QuAYThYKFXSmrTcSHsdd7sAxaFBobaCkLy2DBYJLMDs,3,https://raw.githubusercontent.com/solana-labs/token-list/main/assets/mainnet/3QuAYThYKFXSmrTcSHsdd7sAxaFBobaCkLy2DBYJLMDs/logo.png,true
METASEER,METAS,3Ztt53vwGhQGoEp3n1RjSu4CFnGRfqzwo6L8KN8gmXfd,9,https://metaseer.io/img/home-one/logo256.png,true
Only1,LIKE,3bRTivrVsitbmCTGtqwp7hxXPsybkjn4XLNtPsHqa3zR,9,https://assets.coingecko.com/coins/images/17501/large/like-token.png?1628036165,true
Oxbull Solana,OXS,4TGxgCSJQx2GQk9oHZ8dC5m3JNXTYZHjXumKAW3vLnNx,9,https://assets.coingecko.com/coins/images/17304/large/9xPPXxJC_400x400.jpg?1627269668,true
Synthetify,SNY,4dmKkXNHdgYsXqBHCuMikNQWwVomZURhYvkkX5c4pQ7y,6,https://assets.coingecko.com/coins/images/14835/large/synthetify_token.png?1618611507,true
LIQ Protocol,LIQ,4wjPQJ6PrkC4dHhYghwJzGBVP78DkBzA2U3kHoFNBuhj,6,https://raw.githubusercontent.com/solana-labs/token-list/main/assets/mainnet/4wjPQJ6PrkC4dHhYghwJzGBVP78DkBzA2U3kHoFNBuhj/logo.png,true
ApeXit Finance,APEX,51tMb3zBKDiQhNwGqpgwbavaGH54mk8fXFzxTc1xnasg,9,https://assets.coingecko.com/coins/images/16864/large/cg.png?1625470996,true
APYSwap,APYS,5JnZ667P3VcjDinkJFysWh2K2KtViy63FZ3oL5YghEhW,9,https://assets.coingecko.com/coins/images/14163/large/apys.png?1635831990,true
Kugle GU,GU,5KV2W2XPdSo97wQWcuAVi6G4PaCoieg4Lhhi61PAMaMJ,9,https://assets.coingecko.com/coins/images/17532/large/Logo_GU_512.png?1628129442,true
CATO,CATO,5p2zjqCd1WJzAVgcEnjhb9zWDU7b9XVhFhx4usiyN7jB,9,https://assets.coingecko.com/coins/images/17031/large/CATO200newlogo.png?1648448136,true
Dino,DINO,6Y7LbYB3tfGBG6CSkyssoxdtHb77AEMTRVXe8JUJRwZ7,6,https://assets.coingecko.com/coins/images/17770/large/solana_dino.png?1629207162,true
Project SEED Token,SHILL,6cVgJUqo4nmvQpbgrDZwyfd6RwWw5bfnCamS3M9N1fd,6,https://raw.githubusercontent.com/solana-labs/token-list/main/assets/mainnet/6cVgJUqo4nmvQpbgrDZwyfd6RwWw5bfnCamS3M9N1fd/logo.png,true
SAIL,SAIL,6kwTqmdQkJd8qRr9RjSnUX9XJ24RmJRSrU1rsragP97Y,6,https://assets.coingecko.com/coins/images/16657/large/SAIL.png?1624608515,true
QUEST,QUEST,6ybxMQpMgQhtsTLhvHZqk8uqao7kvoexY6e8JmCTqAB1,4,https://raw.githubusercontent.com/solana-labs/token-list/main/assets/mainnet/6ybxMQpMgQhtsTLhvHZqk8uqao7kvoexY6e8JmCTqAB1/logo.png,true
Luna Yield,LUNY,7a4cXVvVT7kF6hS5q5LDqtzWfHfys4a9PoK6pf87RKwf,9,https://raw.githubusercontent.com/solana-labs/token-list/main/assets/mainnet/7a4cXVvVT7kF6hS5q5LDqtzWfHfys4a9PoK6pf87RKwf/logo.png,true
